
2024/07/22 (14:47:28) | ===> btop++ v.1.3.2
2024/07/22 (14:47:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (14:47:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (14:49:50) | ===> btop++ v.1.3.2
2024/07/22 (14:49:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (14:49:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:46:48) | ===> btop++ v.1.3.2
2024/07/22 (22:46:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:46:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:47:37) | ===> btop++ v.1.3.2
2024/07/22 (22:47:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:47:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:49:23) | ===> btop++ v.1.3.2
2024/07/22 (22:49:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:49:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:50:01) | ===> btop++ v.1.3.2
2024/07/22 (22:50:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:50:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:50:16) | ===> btop++ v.1.3.2
2024/07/22 (22:50:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:50:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:50:31) | ===> btop++ v.1.3.2
2024/07/22 (22:50:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:50:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:52:24) | ===> btop++ v.1.3.2
2024/07/22 (22:52:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:52:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:54:09) | ===> btop++ v.1.3.2
2024/07/22 (22:54:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:54:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:55:47) | ===> btop++ v.1.3.2
2024/07/22 (22:55:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:55:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (22:55:58) | ===> btop++ v.1.3.2
2024/07/22 (22:55:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (22:55:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (01:17:08) | ===> btop++ v.1.3.2
2024/07/23 (01:17:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (01:17:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (01:40:03) | ===> btop++ v.1.3.2
2024/07/23 (01:40:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (01:40:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (01:44:50) | ===> btop++ v.1.3.2
2024/07/23 (01:44:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (01:44:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (09:19:02) | ===> btop++ v.1.3.2
2024/07/23 (09:19:02) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/23 (09:19:05) | ===> btop++ v.1.3.2
2024/07/23 (09:19:05) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/23 (09:19:20) | ===> btop++ v.1.3.2
2024/07/23 (09:19:20) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/23 (09:19:29) | ===> btop++ v.1.3.2
2024/07/23 (09:19:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (09:19:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (09:19:39) | ===> btop++ v.1.3.2
2024/07/23 (09:19:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (09:19:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (09:19:46) | ===> btop++ v.1.3.2
2024/07/23 (09:19:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (09:19:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (09:20:19) | ===> btop++ v.1.3.2
2024/07/23 (09:20:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (09:20:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (11:04:48) | ===> btop++ v.1.3.2
2024/07/23 (11:04:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (11:04:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (11:05:00) | ===> btop++ v.1.3.2
2024/07/23 (11:05:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (11:05:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (12:58:00) | ===> btop++ v.1.3.2
2024/07/23 (12:58:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (12:58:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (13:02:11) | ===> btop++ v.1.3.2
2024/07/23 (13:02:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (13:02:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (13:03:04) | ===> btop++ v.1.3.2
2024/07/23 (13:03:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (13:03:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (17:06:25) | ===> btop++ v.1.3.2
2024/07/23 (17:06:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (17:06:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/23 (17:08:12) | ===> btop++ v.1.3.2
2024/07/23 (17:08:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/23 (17:08:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/24 (00:53:47) | ===> btop++ v.1.3.2
2024/07/24 (00:53:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/24 (00:53:47) | WARNING: ROCm SMI: Failed to get PCIe throughput
